teamname,curr_roster,old_rosters
Metizport,"['hampus', 'plopski', 'isak', 'adamb', 'l00m1']","[['nilo', 'plopski', 'l00m1', 'adamb', 'shine'], ['nilo', 'shinee', 'plopski', 'l00m1', 'adamb'], ['nilo', 'sapec', 'plopski', 'l00m1', 'adamb'], ['nilo', 'jackinho', 'susp', 'ztr', 'adamb']]"
Metizport X,"['zame', 'straxy', 'kronkzz', 'zapr', 'macke']",[]
MIBR,"['lucaozy', 'exit', 'saffee', 'insani', 'brnz4n']","[['drop', 'exit', 'lucaozy', 'insani', 'saffee'], ['brnz4n', 'drop', 'exit', 'insani', 'saffee']]"
MIBR Academy,"['card', 'perez', 'brn$', 'stormzyn', 'renanzin']","[['card', 'brn$', 'renanzin', 'stormzyn'], ['card', 'mlhzin', 'brn$', 'stormzyn', 'renanzin'], ['card', 'mlhzin', 'diozera', 'brn$', 'renanzin'], ['card', 'brn$', 'renanzin', 'mlhzin'], ['jlk', 'mlhzin', 'brn$', 'bobz', 'renanzin']]"
MIBR fe,"['gabi', 'goddess', 'poppins', 'yungher', 'dani']","[['hera', 'gabi', 'dani', 'showliana', 'babs'], ['babs', 'gabi', 'dani'], ['lexy', 'gabi', 'dani', 'babs', 'jelly'], ['khizha', 'lexy', 'gabi', 'dani', 'babs'], ['khizha', 'gabi', 'dani', 'regiane', 'babs']]"
MIGHT,"['djay', 'voltage', 'snakes', 'louie', 'jared']","[['snakes', 'louie', 'pwnalone', 'djay', 'voltage'], ['snakes', 'louie', 'outback', 'djay', 'voltage'], ['snakes', 'louie', 'pwnalone', 'djay', 'rekmeister'], ['snakes', 'louie', 'outback', 'djay', 'rekmeister'], ['snakes', 'louie', 'djay', 'jam', 'jonji'], ['snakes', 'nifty', 'fr3nk1e', 'scar', 'djay']]"
Mindfreak,"['tucks', 'texta', 'crunchy', 'pain']","[['texta', 'gump', 'pain', 'tucks', 'rickeh'], ['crunchy', 'kairo', 'texta', 'tucks', 'forleks'], ['crunchy', 'kairo', 'texta', 'pain', 'tucks'], ['crunchy', 'texta', 'gump', 'pain', 'tucks'], ['tucks', 'gump', 'pain']]"
MINLATE,"['amanek', 'lunatic', 'espiranto', 'aidkit', 'spardaus']",[]
Mission Possible,"['b0rup', 'birdfromsky', 'vegi', 'aidkit', 'licale']","[['vegi', 'b0rup', 'birdfromsky', 'licale', 'm4tthi']]"
Molotov,"['behindx', 'viggo', 'bekker', 'stesso', 'speedie']",[]
Moneyball,"['dottie', 'junior', 'cryptic', 'nomizz', 'clasia']",[]
moneyF,"['keoz', 'reiko', 'redstar', 'juve', 'bevve']","[['sinnopsyy', 'keoz', 'smooya', 'reiko', 'redstar'], ['reiko', 'redstar', 'keoz', 'smooya']]"
Monte,"['hadji', 'afro', 'leen', 'ryu', 'gizmy']","[['gizmy', 'demqq', 'hades', 'dycha', 'ryu'], ['gizmy', 'demqq', 'hades', 'leen', 'ryu'], ['krasnal', 'demqq', 'hades', 'kei', 'dycha'], ['ryu', 'gizmy', 'demqq', 'hades'], ['dycha', 'demqq', 'hades'], ['dycha', 'demqq', 'krasnal', 'hades'], ['woro2k', 'krasnal', 'demqq', 'styko', 'hadji']]"
Monte Gen,"['fnl', 'gizmy', 'leen', 'ryu', 'shield']","[['gizmy', 'fnl', 'leen', 'ryu', 'burmylov']]"
Mousquetaires,"['jackz', 'devoduvek', 'nivera', 'drac', 'kursy']",[]
MOUZ,"['xertion', 'torzsi', 'jimpphat', 'brollan', 'spinx']","[['xelex', 'brollan', 'jimpphat', 'xertion', 'torzsi'], ['siuhy', 'brollan', 'jimpphat', 'xertion', 'torzsi']]"
MOUZ NXT,"['burmylov', 'neityu', 'pr', 'tobiz', 'xelex']","[['cliqq', 'pr', 'xelex', 'blick', 'jorko']]"
Mythic,"['austin', 'cooper', 'fl0m', 'hyza', 'trucklover86']","[['austin', 'fl0m', 'cooper', 'freakazoid', 'trucklover86'], ['austin', 'fl0m', 'cooper', 'trucklover86'], ['austin', 'fl0m', 'cooper-', 'freakazoid', 'trucklover86'], ['fl0m', 'hate', 'cooper', 'freakazoid', 'trucklover86']]"
Natus Vincere,"['aleksib', 'b1t', 'im', 'jl', 'w0nderful']",[]
NAVI Javelins,"['angelka', 'astra', 'd7', 'hanka', 'vicu']",[]
NAVI Junior,"['cmtry', 'dem0n', 'dziugss', 'krabeni', 'makazze']","[['krabeni', 'dem0n', 'cmtry', 'coolio', 'makazze']]"
Nemiga,"['1eer', 'khan', 'riskyb0b', 'xant3r', 'zweih']",[]
NEVERMORE,"['muv', 'neiter', 'doni', 'hodix', 'jackast']",[]
Nexus,"['btn', 'xellow', 'ragga', 's0und', 'launx']","[['ragga', 'btn', 'xellow', 'adron', 's0und'], ['btn', 'xellow', 'adron', 'ciocardau', 'zewts'], ['ragga', 'btn', 'xellow', 'adron', 'ciocardau'], ['ragga', 'ciocardau', 'xellow', 'btn'], ['ragga', '7kick', 'btn', 'xellow', 'ciocardau']]"
NinJa,"['spine', 'rage', 'risk', 'miami', 'expsasiki']",[]
Ninjas in Pyjamas,"['rez', 'mistem', 'isak', 'r1nkle', 'jocab']","[['snappi', 'ewjerkz', 'sjuush', 'arrozdoce', 'r1nkle'], ['jackz', 'snappi', 'ewjerkz', 'sjuush', 'r1nkle'], ['mistem', 'r1nkle'], ['rez', 'isak', 'mistem', 'r1nkle'], ['maxster', 'mistem', 'rez', 'isak', 'r1nkle'], ['maxster', 'alex', 'rez', 'isak', 'r1nkle']]"
Niory,"['n1kace', 'buntz', 'karman', 'emot1on']","[['buntz', 'n1kace', 'wadeshot', 'emot1on', 'karman']]"
NIP Impact,"['aim', 'nayomy', 'qiyarah', 'ramziin', 'vilga']",[]
NITRO,"['zmb', 'realz1n', 'leomonster', 'bsd', 'happ']","[['beg0d', 'lcm', 'leleo', 'lucas1', 'happ'], ['beg0d', 'lucas1', 'lcm'], ['beg0d', 'lucas1', 'lcm', 'leleo'], ['beg0d', 'lcm', 'leleo', 'nolkz', 'happ'], ['nolkz', 'beg0d', 'happ', 'leleo'], ['cerolzin', 'beg0d', 'leleo', 'nolkz', 'happ']]"
NOM,"['dan1', 'm4tthi', 'moree', 'shushan', 'zax1e']",[]
NomadS,"['clouden', 'henx', 'paranormal', 'hoolig4n', 'randyyyy']","[['krst', 'hoolig4n', 'henx', 'shinobi', 'crytical'], ['hoolig4n', 'henx', 'clouden', 'crytical', 'paranormal'], ['krst', 'hoolig4n', 'henx', 'randyyyy', 'crytical'], ['hoolig4n', 'shinobi', 'controlez'], ['hoolig4n', 'shinobi', 'controlez', 'paranormal', 'wonderzce']]"
nomercy fe,"['t4tty', 'potya', 'unknxwn', 'aiveri', 'akiyanora']","[['aiveri', 'meo', 'unknxwn', 'turboxgirl', 'akiyanora']]"
Nordix,"['sense', 'berzerk', 'brave', 'realyummy', 'samee']","[['berzerk', 'artysan', 'artstyle']]"
Norway,"['grus', 'sense', 'shyyne', 'sly', 'tapewaare']",[]
Nostalgia,"['swaggy', 'jeyn', 'ed1m', 'shateri', 'wazz']",[]
Nouns,"['rush', 'cj da k1ng', 'junior', 'nicx', 'peeping']","[['cryptic', 'junior', 'clasia', 'dottie', 'nomizz'], ['cryptic', 'junior', 'clasia', 'rush', 'peeping'], ['jeorge', 'junior', 'rush', 'cj da k1ng', 'nosrac'], ['cryptic', 'junior', 'rush', 'peeping', 'cj da k1ng'], ['rush', 'junior', 'peeping', 'cryptic'], ['infinite', 'cryptic', 'junior', 'rush', 'peeping'], ['rush', 'junior', 'cj da k1ng']]"
Nouns fe,"['violet', 'raynee', 'ashe', 'lunari', 'gadfly']","[['violet', 'ashe', 'jesscas', 'lunari', 'raynee'], ['ashe', 'jesscas', 'lunari', 'katalyyst', 'raynee'], ['jesscas', 'lunari', 'ashe', 'raynee']]"
Novaq,"['nealan', 'def1zer', 'pumpkin66', 'tasman', 'forkyz']",[]
NOVAQ,"['nealan', 'def1zer', 'pumpkin66', 'tasman', 'forkyz']",[]
NRG,"['nitr0', 'osee', 'br0', 'hext', 'jeorge']","[['jeorge', 'nitr0', 'brehze', 'osee', 'hext'], ['autimatic', 'nitr0', 'brehze', 'osee', 'hext']]"
Nuclear TigeRES,"['k0s', 'senka', 'h1kan', 'flouzer', 'fluffy']",[]
Nyx Empyre,"['pippysippy', 'mamaalien', 'jaydee', 'adk', 'viv']",[]
O PLANO,"['regiane', 'bokor', 'ujliana', 's1non', 'sofiaxyz']","[['s1non', 'bokor', 'regiane', 'sofiaxyz', 'lyttlez']]"
ODDIK,"['wood7', 'pancc', 'naitte', 'matios', 'ksloks']","[['wood7', 'matios', 'togs', 'ceruttera', 'naitte'], ['wood7', 'matios', 'togs', 'ksloks', 'naitte'], ['wood7', 'naitte', 'matios', 'togs']]"
OG,"['nicoodoz', 'f1ku', 'spooke', 'buzz', 'chr1zn']","[['spooke', 'f1ku', 'chr1zn', 'buzz'], ['spooke', 'f1ku', 'afro', 'buzz', 'chr1zn'], ['spooke', 'f1ku', 'buzz', 'chr1zn', 'modo'], ['m1key', 'f1ku', 'buzz', 'chr1zn', 'modo'], ['f1ku', 'chr1zn', 'buzz', 'modo'], ['f1ku', 'modo', 'buzz', 'chr1zn', 'nexius'], ['k1to', 'f1ku', 'thomas', 'modo', 'nexius']]"
ONi,"['jonger', 'estelle', 'jaytzy', 'clyd1e', 'chinits']","[['jaytzy', 'jonger', 'whis', 'clyd1e', 'zumss']]"
Only One Word,"['viridian', 'sunshinez', 'ban4na', 'terryyy', 'oath']","[['freeman', 'ban4na', 'viridian', 'oath', 'terryyy'], ['freeman', 'ban4na', 'oath', 'viridiancity', 'terryyy']]"
Onyx Ravens,"['sixer', 'ejram', 'pokemon', 'ttyke']",[]
paiN,"['dgt', 'biguzera', 'dav1d', 'nqz', 'snow']","[['nqz', 'lux', 'biguzera', 'snow', 'kauez'], ['nqz', 'deemo', 'dav1d', 'snow', 'rikz'], ['nqz', 'biguzera', 'deemo', 'dav1d', 'snow'], ['nqz', 'snow', 'dav1d', 'biguzera'], ['nqz', 'biguzera', 'dav1d', 'snow', 'kauez'], ['nqz', 'kauez', 'snow', 'biguzera']]"
paiN Academy,"['deemo', 'legy', 'tatu', 'markz', 'tsug']","[['legy', 'tatu', 'markz', 'tsug'], ['tatu', 'deemo', 'legy', 'markz', 'premium'], ['legy', 'markz', 'tatu', 'deemo']]"
PARIVISION,"['qikert', 'belchonokk', 'patsi', 'alpha', 'artfr0st']","[['nota', 'belchonokk', 'travis', 'qikert', 'jame'], ['nota', 'belchonokk', 'alpha', 'qikert', 'jame'], ['artfr0st', 'qikert', 'belchonokk'], ['artfr0st', 'qikert', 'patsi', 'belchonokk']]"
Partizan,"['emi', 'c0llins', 'kind0', 'dragon', 'vldn']","[['kind0', 'vldn', 'c0llins', 'dragon', 'maden'], ['emi', 'kind0', 'c0llins', 'roga', 'dragon']]"
PARTIZAN,"['verbal4buser', 'yakuza', 'dis1', '7tetsu', 'xm1nd']",[]
Party Astronauts,"['ben1337', 'fang', 'walco', 'viz', 'ogwizard']","[['d4rty', 'ben1337', 'sacrifice', 'ogwizard', 'xsany'], ['d4rty', 'ben1337', 'fang', 'sacrifice', 'ogwizard'], ['d4rty', 'ben1337', 'fang', 'ogwizard', 'viz'], ['infinite', 'ben1337', 'cxzi', 'fang', 'wolfy'], ['infinite', 'ben1337', 'fang', 'ogwizard', 'viz'], ['viz', 'ben1337', 'ogwizard', 'fang'], ['infinite', 'ben1337', 'fang', 'ogwizard', 'peeping'], ['ogwizard', 'ben1337', 'infinite', 'fang'], ['infinite', 'ben1337', 'cxzi', 'wolfy', 'chop']]"
Passion UA,"['fear', 'jambo', 's-chilla', 'jackasmo', 'zerrofix']","[['jackasmo', 'kvem', 'woro2k', 'demqq', 'topa'], ['jackasmo', 'kvem', 's-chilla', 'zerrofix', 'topa'], ['kvem', 'zerrofix', 'jambo', 'jackasmo\t', 'topa'], ['jackasmo', 'kvem', 'zerrofix', 'jambo', 'topa'], ['jackasmo\t', 'jambo', 'zerrofix', 'topa'], ['s-chilla', 'zerrofix', 'jambo', 'jackasmo\t', 'fear']]"
Patins da Ferrari,"['land1n', 'cutzmeretz', 'lub', 'perez', 'cso']","[['proshow', 'perez', 'rainny', 'cutzmeretz', 'jotag3'], ['r3kt', 'perez', 'premium'], ['proshow', 'perez', 'rainny', 'jotag3', 'ricioli'], ['premium', 'perez', 'misfit', 'cutzmeretz', 'r3kt'], ['lub', 'perez', 'misfit', 'cutzmeretz', 'premium'], ['cso', 'lub', 'cutzmeretz', 'perez'], ['zede', 'leomonster', 'mtgg', 'cutzmeretz', 'cso'], ['perez', 'zede', 'cutzmeretz'], ['lcm', 'lub', 'perez', 'cutzmeretz', 'cso'], ['zede', 'leomonster', 'misfit', 'cutzmeretz', 'cso']]"
PCIFIC,"['emstar', 'jresy', 'ens', 'scollen', 'lugsen']","[['scollen', 'lugsen', 'ens', 'jresy'], ['lugsen', 'ens', 'jresy', 'scollen', 'cizzx']]"
PEAK fe,"['cara de banana', 'dynasty', 'eleven', 'luulu4k', 'valulu']",[]
PeeP,"['ansavage', 'brilliance', 'yumsan', 'yiksrezo']","[['yiksrezo', 'brilliance', 'la3euka', 'ansavage', 'yumsan']]"
PEGADA,"['linko', 'nopeej', 'pr', 'rafaxf', 'snapy']","[['nopeej', 'snapy', 'linko', 'rafaxf', 'ms']]"
Penance,"['cojomo', 'gabe', 'mds', 'outback', 'rekmeister']",[]
Permitta,"['twiksar', 'kre1n', 'fostar', 'orbit', 'tionix']","[['fr3nd', 'masked', 'maaryy', 'bnox', 'tomiko'], ['markoś', 'masked', 'maaryy', 'bnox', 'tomiko']]"
Permitta W,"['monkey d julie', 'oxycet', 'tynka', 'victoria', 'wieenn']","[['missy', 'oxycet', 'monkey d julie', 'tynka', 'victoria']]"
Phoenix,"['shutout', 'gabe', 'cojomo', 'mds']","[['yuz', 'gabe', 'mds', 'cojomo', 'shutout']]"
Players,"['mithputtini', 'xns', 'spinnie', 'hug1', 'slashzz']","[['mithputtini', 'xns', 'spinnie', 'drax', 'hug1'], ['mithputtini', 'voltera', 'xns', 'spinnie', 'hug1'], ['mithputtini', 'xns', 'spinnie', 'draxst4r', 'hug1'], ['xns', 'hug1', 'mithputtini', 'spinnie'], ['mithputtini', 'dzt', 'xns', 'dok', 'spinnie'], ['mithputtini', 'dok', 'spinnie', 'dzt'], ['mithputtini', 'lich', 'dzt', 'dok', 'spinnie']]"
PLUSH,"['tripex17', 'ner', 'n0rths', 'm4d4ra']","[['tripex17', 'm4d4ra', 'ner', 'st0m4k', 'n0rths']]"
Poland fe,"['angelka', 'hanka', 'leti', 'liina', 'vicu']",[]
PORTUGAL,"['nickelback', 'x5g7v', 'kair0n-']","[['nickelback', 'synyx', 'x5g7v', 'kair0n-'], ['x5g7v', 'kair0n-', 'synyx', 'nickelback', 'danistzz']]"
Portugal,"['ag1l', 'aragornn', 'icarus', 'nopeej', 'rafaxf']",[]
Portuguese Family,"['renatoohaxx', 'snapy', 'rafaxf', 'linko', 'jayy2s']",[]
POWERmix,"['dodz', 'tr1', '0scar', 'nako', 'sry']",[]
Prasso,"['lenci', 'pavv', 'hezz', 'rzk', 'dott1']",[]
Preasy,"['acilion', 'patti', 'boye', 'griller', 'bekker']","[['viggo', 'acilion', 'beccie', 'patti', 'griller'], ['acilion', 'patti', 'griller'], ['acilion', 'beccie', 'patti', 'griller'], ['viggo', 'acilion', 'beccie', 'griller'], ['viggo', 'equip', 'acilion', 'beccie', 'griller'], ['viggo', 'bekker', 'acilion', 'beccie', 'griller'], ['equip', 'acilion', 'beccie', 'griller'], ['equip', 'jboen', 'acilion', 'beccie', 'griller']]"
Priority,"['n07', 'dodge', 'mild', 'grief', 'swoops']",[]
Prototype Blaze,"['monkey d julie', 'emerald', 'kaoday', 'astra', 'rachell']",[]
Punishers,"['fadey', 'blaze', 'froz3n', 'rustyyg', 'burnz']",[]
Qiang,"['aaron', 'bibu', 'dgl', 'kory', 'porya']",[]
QMISTRY,"['keis', 'masi', 'xydoo', 'showk', 'fugor']",[]
QUAZAR,"['gehji', 'muk0s', 'n4mb3r5', 'tommy', 'whisper']",[]
Quem Sao Elas,"['camyy', 'le', 'josi', 'babs', 'tamizinha']",[]
RAGE,"['oxygen', 'for2na', 'r3lifwow', 'elaydzha', 'fatestyoshi']","[['adams0n', 'spellfull', 'tndkingg', 'elaydzha', 'ner'], ['fatestyoshi', 'ssu1tan', 'elaydzha', 'ner', 'r3lifwow']]"
Rare Atom,"['summer', 'somebody', 'kaze', 'childking', 'l1hang']","[['summer', 'childking', 'kaze', 'somebody', 'ahang'], ['summer', 'childking', 'l1hang', 'kaze', 'salmon'], ['summer', 'childking', 'l1hang', 'somebody', 'z8z']]"
Real Original,"['rolex', 'mairolls', 'seven89', 'geniuss']",[]
Rebels,"['innocent', 'sobol', 'flayy', 'qlocuu', 'kisserek']","[['sobol', 'flayy', 'kisserek', 'innocent', 'tomiko'], ['flayy', 'kisserek', 'innocent', 'szpero', 'casey'], ['flayy', 'kisserek', 'innocent'], ['flayy', 'kisserek', 'casey', 'innocent'], ['innocent', 'flayy', 'kisserek', 'olimp', 'casey']]"
RED Canids,"['coldzera', 'drop', 'venomzera']","[['felps', 'drop', 'coldzera', 'venomzera', 'hen1'], ['hardzao', 'dav1d', 'venomzera', 'hen1', 'nython'], ['felps', 'coldzera', 'nyezin', 'venomzera', 'hen1'], ['coldzera', 'hen1', 'venomzera'], ['coldzera', 'dav1d', 'venomzera', 'hen1', 'nython']]"
RED Canids Academy,"['sanc', 'gtw', 'n0page', 'edv', 'faster']",[]
regain,"['halen', 'zucar', 'dvrk', 'sasha', 'fuzenko']","[['halen', 'dvrk', 'joshyy', 'zucar', 'sasha'], ['joshy']]"
regnum4games,"['pictrucz', 'kinq', 'blacki', 'mys']","[['pictrucz', 'spidergum', 'kinq', 'blacki', 'mys']]"
Reveal,"['askan', 'spexy', 'cl34v3rs', 'onelion', 'hayanh']",[]
Revel,"['jachro', 'madss', 'p3nny', 'toasty', 'brawckzz']",[]
Revenant,"['launx', 'nbk-', 'neityu', 'nivera', 'reiko']","[['reiko', 'nivera', 'launx'], ['reiko', 'nbk-', 'nivera', 'launx'], ['nbk-', 'nivera', 'reiko', 'adex', 'launx']]"
Revenge,"['ad0rfin', 'imygdx', 'nurssss', 'nesh', 'scarface']",[]
Revenge Nation,"['evan', 'magic', 'merl', 'night666lade', 'taben']","[['taben', 'night666lade', 'evan', 'magic'], ['horizon', 'night666lade', 'evan', 'taben', 'magic'], ['s0ph3r', 'night666lade', 'evan', 'taben', 'magic']]"
Reverse Sweep,"['shenxiang', 'yuhuanky', 'hunten', 'ghost217', 'p1g']",[]
RG-QingQiu Esports,"['gas', 'zzzzzzzznan', 'purely', 'marek', 'qqgod']",[]
Rhyno,"['icarus', 'p3r3iira', 'aragornn', 'krazy', 'seabraez']","[['ag1l', 'snapy', 'krazy', 'tmkj', 'rafaxf'], ['nopeej', 'snapy', 'krazy', 'tmkj', 'rafaxf']]"
Roler Coaster,"['buster', 'n0rb3r7', 'nafany', 'alpha', 'artfr0st']",[]
Rooster,"['asap', 'chelleos', 'dannyg', 'sliimey', 'tjp']","[['tjp', 'asap', 'chelleos', 'sliimey', 'rackem'], ['tjp', 'dpr', 'asap', 'chelleos', 'sliimey'], ['tjp', 'chelleos', 'asap', 'sliimey'], ['tjp', 'asap', 'chelleos', 'sliimey', 'danger']]"
ROYALS,"['swaggy', 'jeyn', 'shateri', 'ersin', 'wazz']","[['wazz', 'ersin', 'swaggy', 'shateri'], ['wazz', 'swaggy', 'shateri', 'ersin', 'oskvr']]"
RUBY,"['fozil', 'h4san4tor', 'sowalio', 'kaide', 'mo0n']","[['kaide', 'sowalio', 'h4san4tor', 'fozil'], ['tasman', 'mo0n', 'forkyz', 'sowalio', 'kaide']]"
RUSH B,"['kinqie', 'kiro', 'z1nny', 'executor', 'tex1y']","[['executor', 'tex1y', 'kiro', 'kinqie'], ['executor', 'tex1y', 'kiro', 'kinqie', 'gospadarov']]"
RUSTEC,"['xnkka', 'karnez', 'fiction', 'rezkiyy', 'ela1z']",[]
SABRE,"['neiter', 'svemyy', 'fakerealityy', 'hodix', 'jackast']",[]
Sampi,"['fino', 'savana1', 'semtex', 'the elive', 'zedko']","[['savana1', 'the elive', 'fino', 'manguss', 'zedko']]"
Sangal,"['blytz', 'maaryy', 'bnox', 'masked', 'danistzz']","[['kreaz', 'blytz', 'danistzz', 'bnox', 'calyx'], ['samey', 'yxngstxr', 'lnz', 'xfl0ud', 'jottaaa'], ['lnz', 'xfl0ud', 'yxngstxr'], ['lnz', 'xfl0ud', 'yxngstxr', 'jottaaa']]"
Sashi,"['lucky', 'cabbi', 'iceberg', 'zyphon', 'beccie']","[['cabbi', 'zyphon', 'iceberg', 'niko', 'lucky'], ['cabbi', 'iceberg', 'zyphon', 'lucky'], ['cabbi', 'zyphon', 'iceberg', 'lucky', 'altekz'], ['mistr', 'cabbi', 'iceberg', 'lucky', 'altekz'], ['cabbi', 'iceberg', 'lucky', 'nicoodoz', 'altekz'], ['mistr', 'cabbi', 'iceberg', 'kwezz', 'lucky']]"
SAW,"['mutiris', 'story', 'ag1l', 'azuwu', 'cej0t']","[['ag1l', 'cej0t', 'story', 'azuwu-', 'mutiris'], ['ag1l', 'story', 'roman', 'mutiris', 'shr'], ['ag1l', 'ewjerkz', 'story', 'roman', 'mutiris'], ['story', 'ewjerkz', 'roman', 'mutiris'], ['ewjerkz', 'story', 'roman', 'mutiris', 'arrozdoce']]"
ScarX,"['x1ron', 'dant1k', 'krypt0nn', 'k1arash', 'dili']",[]
Secret,"['anarkez', 'juve', 'kind0', 'nopeej', 'tauson']",[]
SemperFi,"['alistair', 'keen', 'valiance', 'shadiy', 'savage']","[['shadiy', 'valiance', 'vision', 'keen', 'savage'], ['shadiy', 'vision ', 'valiance', 'keen', 'savage']]"
SENSEI,"['cutzmeretz', 'lub', 'lcm', 'perez', 'cso']","[['jz', 'lcm', 'perez', 'cutzmeretz', 'cso']]"
seoul,"['cr1stal', 'tokyopeek', 'ayli', 'sayn', 'regoshka']","[['tokyopeek', 'sayn', 'cr1stal', 'ayli']]"
Serbia,"['c0llins', 'choiv7', 'dragon', 'emi', 'kind0']",[]
SGGT,"['lame', 'haski4', 'zingy', 'geneka', 'deffen']","[['sange', 'haski4', 'zingy', 'lame', 'deffen']]"
Sharks,"['doc', 'gafolo', 'koala', 'n1cks', 'rdnzao']","[['hoax', 'koala', 'doc', 'rdnzao', 'gafolo'], ['togs', 'suplexn1', 'doc', 'drg', 'rdnzao']]"
Sharks Youngsters,"['levi', 'kenznk', 'tineu', 'longo', 'futoi']",[]
Shika,"['splashske', 'impression', 'biuckmt', 'jiejie', 'zy88']","[['zy88', 'splashske', 'impression', 'kuma', 'biuckmt'], ['jiejie', 'zy88', 'splashske', 'biuckmt', 'siyi'], ['zy88', 'biuckmt', 'splashske', 'impression'], ['jiejie', 's1kura', 'zy88', 'biuckmt', 'siyi']]"
Shimmer,"['stx', 'empathy', 'fawx', 'raven', 'serendipity']","[['fawx', 'stx', 'raven', 'empathy', 'phoebe'], ['milo', 'raven', 'stx', 'empathy', 'serendipity'], ['celia', 'stx', 'raven', 'empathy', 'phoebe']]"
ShindeN,"['bk1', 'nacho', 'abizz', 'ivz', 'naz']","[['nacho', 'roy', 'ivz', 'abizz', 'bk1'], ['nacho', 'abizz', 'bk1', 'ivz'], ['relentless', 'roy', 'ivz', 'abizz', 'bk1']]"
SHPL,"['s1kura', 'narone', 'madness', 'xan', 'nuko']",[]
SINNERS,"['beastik', 'moriisko', 'pepo', 'shock', 'zedko']","[['shock', 'moriisko', 'beastik'], ['shock', 'moriisko', 'majky', 'oskar', 'beastik']]"
SINNERS Academy,"['boro', 'dalien', 'dreez', 'outex', 'pepo']","[['dalien', 'boro', 'pepo', 'dreez']]"
SkyFury,"['templ', 'shield', '7ox1c', 'kiy0o', 'auth0ri']","[['kiy0o', '7ox1c', 'skch', 'templ']]"
Solid,"['destiny', 'drg', 'gbb', 'nython', 'tomate']","[['drg', 'gbb', 'destiny'], ['gbb', 'lcm', 'alle', 'destiny', 'xureba'], ['drg', 'misfit', 'gbb', 'destiny'], ['gbb', 'misfit', 'alle', 'destiny', 'drg'], ['gbb', 'lcm', 'alle', 'cso', 'xureba']]"
Souls Heart,"['brillo', 'rezst', 'wumbo', 'yoom']",[]
SovvyKiNG,"['danistzz', 'h4san4tor', 'rexxie', 'truniq', 'x5g7v']","[['x5g7v', 'kair0n-', 'truniq', 'rexxie', 'danistzz'], ['x5g7v', 'truniq', 'rexxie', 'danistzz', 'kensi']]"
Space,"['x5g7v', 'chill', 'truniq', 'danistzz', 'h4san4tor']","[['truniq', 'danistzz', 'x5g7v', 'h4san4tor']]"
SPARTA,"['solb', 'h1ghness', 'takanashi', 'djon8', 'yuramyata']",[]
Spirit,"['chopper', 'donk', 'magixx', 'sh1ro', 'zont1x']",[]
Spirit Academy,"['alkarenn', 'kyousuke', 'mokuj1n', 'robo', 'syph0']",[]
Spirit fe,"['averona', 'jammie', 'kr4sy', 'rony4ka', 'uulis']",[]
SPORT,"['danviet', 'premium', 'timid', 'voltera', 'xns']",[]
Spray and Slay,"['aida', 'julih', 'kittytm', 'kitkat', 'emmsan']",[]
Spray Jutsu,"['oxygen', 'rinn', 'dosikzz', 'for2na', 'elaydzha']","[['oxygen', 'dosikzz', 'rinn']]"
st4rboys,"['hf', 'ang3l10wow', 'scoffic', 'sharpshooter', 'bloody']","[['pavast4r', 'sharpshooter', 'ang3l10wow', 'hf', 'bloody']]"
Steel Helmet,"['captainmo', 'dd', 'xiaosage', 'ae', '18ym']","[['dd', '18ym', 'mo', 'xiaosage', 'ae']]"
Straight2Killin,"['vulcan', 'brashi', 'horizon', 'den1ed', 'elxhin']",[]
sunday school,"['liki', 'mizzy', 'guag']",[]
SUPER EVIL GANG,"['arias', 'flow', 'clipzera']","[['arias', 'clipzera', 'flow', 'talen', 'misha'], ['arias', 'misha', 'doom', 'flow', 'talen']]"
Superfkrs,"['d0cc', 'kyojin', 'spawnns', 'kd69z']","[['kd69z', 'd0cc', 'kyojin', 'spawnns', 'h4rn']]"
Supernova Comets,"['stx', 'empathy', 'fawx', 'raven', 'serendipity']",[]
Swingers,"['ponter', 'desh', 'ninjaz', 'vinaabeast']","[['desh', 'vinaabeast', 'mallby', 'ninjaz', 'ponter'], ['leo_drk', 'vinaabeast', 'mallby', 'ninjaz', 'bsd'], ['desh', 'leo_drk', 'vinaabeast', 'ninjaz', 'ponter'], ['bsd', 'mallby', 'leo_drk']]"
Take Flyte,"['sharpie', 'rekmeister', 'panic', 'crisp', 'huncho']","[['grave', 'z0mb1e', 'cbass', 'jchance', 'champ'], ['jpp', 'huncho', 'sharpie', 'panic', 'crisp']]"
Take Flyte Kings,"['sharpie', 'panic', 'jpp', 'crisp', 'huncho']",[]
Teamwork,"['tears', '0z', 'ar1s', 'geq1an', 'doomer']",[]
TGM,"['bodyan', 'speed4k', 'finw', 'jakekes', 'k4nfuz']",[]
THE,"['tugu', 'sange', 'krc', 'daymake', 'kaito']","[['krc', 'sange', 'tugu', 'd0rren', 'daymake'], ['krc', 'sange', 'kaito', 'd0rren', 'daymake'], ['krc', 'sange', 'blessed', 'vt0rnikk', 'd0rren'], ['krc', 'ferqd', 'kaito', 'lakyo', 'd0rren']]"
The Art of War,[],"[['ban4na', 'kibstar', 'viridian', 'oath', 'neo'], ['ban4na', 'neo_au', 'terryyy', 'viridiancity'], ['ban4na', 'neo_au', 'oath', 'viridiancity', 'terryyy'], ['ban4na', 'viridian', 'oath', 'neo', 'terryyy']]"
